Position_2,Final_result
21.932299999999998,21.051906451911208
22.672,21.807888553964283
22.8039,21.936036317900918
22.023200000000003,21.207855122568787
21.2609,20.463499440976673
20.519000000000002,19.76319002936316
19.799,19.056708186782764
19.1051,18.395880545335906
18.4393,17.75768172082949
17.8048,17.145822843858035
17.2051,16.55371962555993
16.6438,15.999071053238142
16.1251,15.486151018873313
15.6531,15.029373752103316
15.232299999999999,14.61272132403635
14.866399999999999,14.25745528327588
14.5606,13.954399486796628
14.3183,13.714207765913837
14.1427,13.54434737707345
14.0362,13.43873190022751
14.000499999999999,13.403326030530618
14.0362,13.440140053307784
14.1426,13.544248212607545
14.318200000000001,13.718366399987667
14.560899999999998,13.958969491522334
14.8667,14.257752544500956
15.2321,14.619747158856596
15.653,15.036547008187533
16.125,15.496382382328845
